%time,field.data
1698138234921518087,3.227
1698138234948435068,3.227
1698138235021048069,3.227
1698138235048224925,3.227
1698138235121377944,3.227
1698138235148413896,3.227
1698138235221703052,3.227
1698138235248224020,3.227
1698138235321661949,3.227
1698138235348464012,3.227
1698138235421643972,3.227
1698138235448473930,3.227
1698138235521608114,3.227
1698138235548369884,3.227
1698138235621864080,3.227
1698138235648457050,3.227
1698138235721820116,3.227
1698138235748326063,3.227
1698138235822161912,3.227
1698138235848845005,3.227
1698138235921801090,3.227
1698138235948628902,3.227
1698138236021804094,3.227
1698138236048635959,3.227
1698138236121912002,3.227
1698138236148466110,3.227
1698138236221856117,3.227
1698138236248480081,3.227
1698138236321909904,3.227
1698138236348484992,3.227
1698138236421941041,3.227
1698138236448316097,3.227
1698138236521514892,3.227
1698138236548517942,3.227
1698138236621501922,3.227
1698138236648408889,3.227
1698138236721551895,3.227
1698138236748507976,3.227
1698138236821916103,3.227
1698138236848390102,3.227
1698138236921550035,3.227
1698138236948514938,3.227
1698138237021528005,3.227
1698138237048331022,3.227
1698138237121578931,3.227
1698138237148627042,3.227
1698138237221719026,3.227
1698138237248400926,3.227
1698138237321544885,3.227
1698138237348365068,3.227
1698138237421765089,3.227
1698138237448436975,3.227
1698138237521760940,3.227
1698138237548537015,3.227
1698138237621808052,3.227
1698138237648224115,3.227
1698138237721633911,3.227
1698138237748507022,3.227
1698138237821712017,3.227
1698138237848014116,3.227
1698138237921509027,3.227
1698138237948451042,3.227
1698138238021836042,3.227
1698138238048230886,3.227
1698138238121411085,3.227
1698138238148226976,3.227
1698138238221689939,3.227
1698138238248363018,3.227
1698138238321692943,3.227
1698138238348359107,3.227
1698138238421775102,3.227
1698138238448352098,3.227
1698138238521583080,3.227
1698138238548234939,3.227
1698138238621468067,3.227
1698138238648303031,3.227
1698138238721609115,3.227
1698138238748646974,3.227
1698138238821491956,3.227
1698138238848278999,3.227
1698138238921996116,3.227
1698138238948473930,3.227
1698138239021512985,3.227
1698138239048469066,3.227
1698138239148555994,3.227
1698138239248342990,3.227
1698138239348141908,3.227
1698138239448255062,3.227
1698138239548249959,3.227
1698138239648399114,3.227
1698138239748280048,3.227
1698138239848277091,3.227
1698138239948626041,3.227
1698138240048418045,3.227
1698138240148138999,3.227
1698138240248554944,3.227
1698138240348772048,3.227
1698138240448417901,3.227
1698138240548441886,3.227
1698138240648139953,3.227
1698138240748328924,3.227
1698138240848650932,3.227
1698138240948354005,3.227
1698138241048588991,3.227
1698138241148672103,3.227
1698138241248537063,3.227
1698138241348530054,3.227
1698138241448287010,3.227
1698138241548439025,3.227
1698138241648679971,3.227
1698138241748887062,3.227
1698138241848397016,3.227
1698138241948498964,3.227
1698138242048213005,3.227
1698138242148349046,3.227
1698138242248416900,3.227
1698138242348520040,3.227
1698138242448146104,3.227
1698138242548445940,3.227
1698138242648492097,3.227
1698138242748287916,3.227
1698138242848138093,3.227
1698138242948337078,3.227
1698138243048286914,3.227
1698138243148551940,3.227
1698138243248303890,3.227
1698138243348284006,3.227
1698138243448571920,3.227
1698138243548448085,3.227
1698138243648571968,3.227
1698138243748254060,3.227
1698138243848290920,3.227
1698138243948616981,3.227
1698138244048454046,3.227
1698138244148447990,3.227
1698138244248321056,3.227
1698138244348512887,3.227
1698138244448580980,3.227
1698138244548307895,3.227
1698138244648077011,3.227
1698138244748781919,3.227
1698138244848306894,3.227
1698138244948278903,3.227
1698138245048219919,3.227
1698138245148380041,3.227
1698138245248294115,3.227
1698138245348351001,3.227
1698138245448103904,3.227
1698138245548547029,3.227
1698138245648530006,3.227
1698138245748259067,3.227
1698138245848372936,3.227
1698138245948518037,3.227
1698138246048300981,3.227
1698138246148365020,3.227
1698138246248181104,3.227
1698138246348515987,3.227
1698138246448103904,3.227
1698138246548278093,3.227
1698138246648334026,3.227
1698138246748541116,3.227
1698138246848440885,3.227
1698138246947907924,3.227
1698138247048556089,3.227
1698138247148257970,3.227
1698138247248184919,3.227
1698138247348181009,3.227
1698138247448278903,3.227
1698138247548355102,3.227
1698138247648682117,3.227
1698138247748131036,3.227
1698138247848073959,3.227
1698138247948494911,3.227
1698138248048218965,3.227
1698138248148045063,3.227
1698138248248931884,3.227
