%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.position0,field.position1,field.position2,field.position3,field.position4
1698139390147588014,14937,1698139390147588014,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137924747484922,283,1698137924747484922,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139390247510910,14938,1698139390247510910,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137924847423076,284,1698137924847423076,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139390347462892,14939,1698139390347462892,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137924947477102,285,1698137924947477102,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139390447384119,14940,1698139390447384119,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137925047698974,286,1698137925047698974,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139390547297000,14941,1698139390547297000,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137925147464990,287,1698137925147464990,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139390647425889,14942,1698139390647425889,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137925247416973,288,1698137925247416973,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139390747473001,14943,1698139390747473001,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137925347590923,289,1698137925347590923,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139390847583055,14944,1698139390847583055,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137925447630882,290,1698137925447630882,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139390947535037,14945,1698139390947535037,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137925547641992,291,1698137925547641992,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139391047596931,14946,1698139391047596931,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137925647516012,292,1698137925647516012,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139391147458076,14947,1698139391147458076,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137925747490882,293,1698137925747490882,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139391247564077,14948,1698139391247564077,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137925847557067,294,1698137925847557067,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139391347623109,14949,1698139391347623109,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137925947530984,295,1698137925947530984,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139391447680950,14950,1698139391447680950,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137926047522068,296,1698137926047522068,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139391547601938,14951,1698139391547601938,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137926147432088,297,1698137926147432088,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139391647530078,14952,1698139391647530078,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137926247586965,298,1698137926247586965,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139391747498989,14953,1698139391747498989,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137926347564935,299,1698137926347564935,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139391847600936,14954,1698139391847600936,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137926447453975,300,1698137926447453975,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
